CodePoint String PositionChange
00064401 ﮑﮑBB >3726485a3726497
00064401 ﮑﮑBB <3726507,3726510d3726518
00064401 ﮑﮑD >3726490a3726506
00064401 ﮑﮑD <3726512,3726515d3726519
00064401 ﮑﮑDD >3726495a3726515
00064401 ﮑﮑDD <3726517,3726520d3726520
00064402 ﮒﮒ >3726522a3726523
00064402 ﮒﮒ <3726547,3726550d3726566
00064402 ﮒﮒB >3726527a3726532
00064402 ﮒﮒB <3726552,3726555d3726567
00064402 ﮒﮒBB >3726532a3726541
00064402 ﮒﮒBB <3726557,3726560d3726568
00064402 ﮒﮒD >3726537a3726550
00064402 ﮒﮒD <3726562,3726565d3726569
00064402 ﮒﮒDD >3726542a3726559
00064402 ﮒﮒDD <3726567,3726570d3726570
00064403 BﮓB <2074719,2074722d2074718
00064403 BﮓB >2074723a2074720
00064403 DﮓD <3674695,3674698d3674694
00064403 DﮓD >3674699a3674696
00064403 ﮓﮓ >3726523a3726525
00064403 ﮓﮓ <3726547,3726550d3726566
00064403 ﮓﮓB >3726528a3726534
00064403 ﮓﮓB <3726552,3726555d3726567
00064403 ﮓﮓBB >3726533a3726543
00064403 ﮓﮓBB <3726557,3726560d3726568
00064403 ﮓﮓD >3726538a3726552
00064403 ﮓﮓD <3726562,3726565d3726569
00064403 ﮓﮓDD >3726543a3726561
00064403 ﮓﮓDD <3726567,3726570d3726570
00064404 BﮔB <2074719,2074722d2074718
00064404 BﮔB >2074724a2074722
00064404 DﮔD <3674695,3674698d3674694
00064404 DﮔD >3674700a3674698
00064404 ﮔﮔ >3726524a3726527
00064404 ﮔﮔ <3726547,3726550d3726566
00064404 ﮔﮔB >3726529a3726536
00064404 ﮔﮔB <3726552,3726555d3726567
00064404 ﮔﮔBB >3726534a3726545
00064404 ﮔﮔBB <3726557,3726560d3726568
00064404 ﮔﮔD >3726539a3726554
00064404 ﮔﮔD <3726562,3726565d3726569
00064404 ﮔﮔDD >3726544a3726563
00064404 ﮔﮔDD <3726567,3726570d3726570
00064405 BﮕB <2074719,2074722d2074718
00064405 BﮕB >2074725a2074724
00064405 DﮕD <3674695,3674698d3674694
00064405 DﮕD >3674701a3674700
00064405 ﮕﮕ >3726525a3726529
00064405 ﮕﮕ <3726547,3726550d3726566
00064405 ﮕﮕB >3726530a3726538
00064405 ﮕﮕB <3726552,3726555d3726567
00064405 ﮕﮕBB >3726535a3726547
00064405 ﮕﮕBB <3726557,3726560d3726568
00064405 ﮕﮕD >3726540a3726556
00064405 ﮕﮕD <3726562,3726565d3726569
00064405 ﮕﮕDD >3726545a3726565
00064405 ﮕﮕDD <3726567,3726570d3726570
00064414 ﮞﮞ >3726802a3726803
00064414 ﮞﮞ <3726817,3726818d3726826
00064414 ﮞﮞB >3726805a3726808
00064414 ﮞﮞB <3726820,3726821d3726827
00064414 ﮞﮞBB >3726808a3726813
00064414 ﮞﮞBB <3726823,3726824d3726828
00064414 ﮞﮞD >3726811a3726818
00064414 ﮞﮞD <3726826,3726827d3726829
00064414 ﮞﮞDD >3726814a3726823
00064414 ﮞﮞDD <3726829,3726830d3726830
00064415 BﮟB <2074775,2074776d2074774
00064415 BﮟB >2074777a2074776
00064415 DﮟD <3674751,3674752d3674750
00064415 DﮟD >3674753a3674752
00064415 ﮟﮟ >3726803a3726805
00064415 ﮟﮟ <3726817,3726818d3726826
00064415 ﮟﮟB >3726806a3726810
00064415 ﮟﮟB <3726820,3726821d3726827
00064415 ﮟﮟBB >3726809a3726815
00064415 ﮟﮟBB <3726823,3726824d3726828
00064415 ﮟﮟD >3726812a3726820
00064415 ﮟﮟD <3726826,3726827d3726829
00064415 ﮟﮟDD >3726815a3726825
00064415 ﮟﮟDD <3726829,3726830d3726830
00064420 ﮤﮤ >3726882a3726883
00064420 ﮤﮤ <3726897,3726898d3726906
00064420 ﮤﮤB >3726885a3726888
00064420 ﮤﮤB <3726900,3726901d3726907
00064420 ﮤﮤBB >3726888a3726893
00064420 ﮤﮤBB <3726903,3726904d3726908
00064420 ﮤﮤD >3726891a3726898
00064420 ﮤﮤD <3726906,3726907d3726909
00064420 ﮤﮤDD >3726894a3726903
00064420 ﮤﮤDD <3726909,3726910d3726910
00064421 BﮥB <2074791,2074792d2074790
00064421 BﮥB >2074793a2074792
00064421 DﮥD <3674767,3674768d3674766
00064421 DﮥD >3674769a3674768
00064421 ﮥﮥ >3726883a3726885
00064421 ﮥﮥ <3726897,3726898d3726906
00064421 ﮥﮥB >3726886a3726890
00064421 ﮥﮥB <3726900,3726901d3726907
00064421 ﮥﮥBB >3726889a3726895
00064421 ﮥﮥBB <3726903,3726904d3726908
00064421 ﮥﮥD >3726892a3726900
00064421 ﮥﮥD <3726906,3726907d3726909
00064421 ﮥﮥDD >3726895a3726905
00064421 ﮥﮥDD <3726909,3726910d3726910
00064430 BﮮﮮB >2074835a2074836
00064430 BﮮﮮB <2074841,2074844d2074844
00064430 DﮮﮮD >3674811a3674812
00064430 DﮮﮮD <3674817,3674820d3674820
00064430 ﮮﮮ >3727103a3727104
00064430 ﮮﮮ <3727133,3727136d3727152
00064430 ﮮﮮB >3727109a3727114
00064430 ﮮﮮB <3727139,3727142d3727154
00064430 ﮮﮮBB >3727115a3727124
00064430 ﮮﮮBB <3727145,3727148d3727156
00064430 ﮮﮮD >3727121a3727134
00064430 ﮮﮮD <3727151,3727154d3727158
00064430 ﮮﮮDD >3727127a3727144
00064430 ﮮﮮDD <3727157,3727160d3727160
00064431 BﮯﮯB >2074836a2074838,2074839
00064431 BﮯﮯB <2074841,2074844d2074844
00064431 DﮯﮯD >3674812a3674814,3674815
00064431 DﮯﮯD <3674817,3674820d3674820
00064431 ﮯﮯ >3727104a3727106
00064431 ﮯﮯ <3727133,3727136d3727152
00064431 ﮯﮯB >3727110a3727116
00064431 ﮯﮯB <3727139,3727142d3727154
00064431 ﮯﮯBB >3727116a3727126
00064431 ﮯﮯBB <3727145,3727148d3727156
00064431 ﮯﮯD >3727122a3727136
00064431 ﮯﮯD <3727151,3727154d3727158
00064431 ﮯﮯDD >3727128a3727146
00064431 ﮯﮯDD <3727157,3727160d3727160
00064432 BﮰﮰB >2074836a2074838,2074839
00064432 BﮰﮰB <2074841,2074844d2074844
00064432 DﮰﮰD >3674812a3674814,3674815
00064432 DﮰﮰD <3674817,3674820d3674820
00064432 ﮰﮰ >3727105a3727108
00064432 ﮰﮰ <3727133,3727136d3727152
00064432 ﮰﮰB >3727111a3727118
00064432 ﮰﮰB <3727139,3727142d3727154
00064432 ﮰﮰBB >3727117a3727128
00064432 ﮰﮰBB <3727145,3727148d3727156
00064432 ﮰﮰD >3727123a3727138
00064432 ﮰﮰD <3727151,3727154d3727158
00064432 ﮰﮰDD >3727129a3727148
00064432 ﮰﮰDD <3727157,3727160d3727160
00064433 BﮱﮱB >2074837a2074841
00064433 BﮱﮱB <2074841,2074844d2074844
00064433 DﮱﮱD >3674813a3674817
00064433 DﮱﮱD <3674817,3674820d3674820
00064433 ﮱﮱ >3727106a3727110
00064433 ﮱﮱ <3727133,3727136d3727152
00064433 ﮱﮱB >3727112a3727120
00064433 ﮱﮱB <3727139,3727142d3727154
00064433 ﮱﮱBB >3727118a3727130
00064433 ﮱﮱBB <3727145,3727148d3727156
00064433 ﮱﮱD >3727124a3727140
00064433 ﮱﮱD <3727151,3727154d3727158
00064433 ﮱﮱDD >3727130a3727150
00064433 ﮱﮱDD <3727157,3727160d3727160
00065152 ﺀﺀ >3725092a3725093
00065152 ﺀﺀ <3725102d3725106
