
# Filtering out patterns with more than 20,000 distinct codepoints to preserve version control sanity.
#   Exceptions:
#   - full data for Basic Latin and Latin-1 Supplement blocks, aka ASCII & ISO-8859-1
#   - full data for pattern S-199, aka single-character strings
# 
# Filtered Pattern ID (total count of distinct codepoints in diff output), Pattern ID (codepoints), etc:
#   S-326 (22282x), S-585 (22435x), S-423 (22461x), S-426 (22432x), S-323 (22311x), S-324 (22311x), S-424 (22461x), S-583 (22283x), S-481 (22279x), S-420 (22406x) 

# CodePoint UnicodeBlock PatternID String PositionChange
0000f4 0080 S-305 ô様様 -21267559,54+21267559,54
0000f4 0080 S-315 様ô様 -23159830,54+23159830,54
0000f4 0080 S-335 ôô様 -21203637,54+21203637,54
0000f4 0080 S-345 ô様ô -21267479,54+21267479,54
0000f4 0080 S-405 ôô様様 -21203717,54+21203717,54
0000f4 0080 S-415 様ôô様 -23159750,54+23159750,54
0000f5 0080 S-205 õ様 -21267399,54+21267399,54
0000f5 0080 S-305 õ様様 -21267559,54+21267559,54
0000f5 0080 S-315 様õ様 -23159830,54+23159830,54
0000f5 0080 S-335 õõ様 -21203637,54+21203637,54
0000f5 0080 S-345 õ様õ -21267479,54+21267479,54
0000f5 0080 S-405 õõ様様 -21203717,54+21203717,54
0000f5 0080 S-415 様õõ様 -23159750,54+23159750,54
0000f7 0080 S-335 ÷÷様 -21863564,258201+21863564,38935
0000f7 0080 S-405 ÷÷様様 -23195960,258033+23195960,38768
0000f7 0080 S-415 様÷÷様 -23713557,258028+23713557,38764
0000fc 0080 S-205 ü様 -21330537,28+21330537,28
0000fc 0080 S-305 ü様様 -21330657,28+21330657,28
0000fc 0080 S-315 様ü様 -23160387,28+23160387,28
0000fc 0080 S-335 üü様 -21330417,28+21330417,28
0000fc 0080 S-345 ü様ü -21330597,28+21330597,28
0000fc 0080 S-405 üü様様 -21330477,28+21330477,28
0000fc 0080 S-415 様üü様 -23160327,28+23160327,28
000102 0100 S-205 Ă様 -14480968,46+14480968,46
000102 0100 S-305 Ă様様 -14481092,46+14481092,46
000102 0100 S-315 様Ă様 -23158417,64+23158417,64
000102 0100 S-335 ĂĂ様 -14480112,46+14480112,46
000102 0100 S-345 Ă様Ă -14481030,46+14481030,46
000102 0100 S-405 ĂĂ様様 -14480174,46+14480174,46
000102 0100 S-415 様ĂĂ様 -23158349,46+23158349,46
000103 0100 S-205 ă様 -14480968,46+14480968,46
000103 0100 S-305 ă様様 -14481092,46+14481092,46
000103 0100 S-315 様ă様 -23158417,64+23158417,64
000103 0100 S-335 ăă様 -14480112,46+14480112,46
000103 0100 S-345 ă様ă -14481030,46+14481030,46
000103 0100 S-405 ăă様様 -14480174,46+14480174,46
000103 0100 S-415 様ăă様 -23158349,46+23158349,46
000112 0100 S-205 Ē様 -18321167,18+18321167,18
000112 0100 S-305 Ē様様 -18321283,18+18321283,18
000112 0100 S-315 様Ē様 -23158908,18+23158908,18
000112 0100 S-335 ĒĒ様 -18320877,18+18320877,18
000112 0100 S-345 Ē様Ē -18321225,18+18321225,18
000112 0100 S-405 ĒĒ様様 -18320935,18+18320935,18
000112 0100 S-415 様ĒĒ様 -23158850,18+23158850,18
000113 0100 S-205 ē様 -18321167,18+18321167,18
000113 0100 S-305 ē様様 -18321283,18+18321283,18
000113 0100 S-315 様ē様 -23158908,18+23158908,18
000113 0100 S-335 ēē様 -18320877,18+18320877,18
000113 0100 S-345 ē様ē -18321225,18+18321225,18
000113 0100 S-405 ēē様様 -18320935,18+18320935,18
000113 0100 S-415 様ēē様 -23158850,18+23158850,18
00014c 0100 S-205 Ō様 -21267399,54+21267399,54
00014c 0100 S-305 Ō様様 -21267559,54+21267559,54
00014c 0100 S-315 様Ō様 -23159830,54+23159830,54
00014c 0100 S-335 ŌŌ様 -21203637,54+21203637,54
00014c 0100 S-345 Ō様Ō -21267479,54+21267479,54
00014c 0100 S-405 ŌŌ様様 -21203717,54+21203717,54
00014c 0100 S-415 様ŌŌ様 -23159750,54+23159750,54
00014d 0100 S-205 ō様 -21267399,54+21267399,54
00014d 0100 S-305 ō様様 -21267559,54+21267559,54
00014d 0100 S-315 様ō様 -23159830,54+23159830,54
00014d 0100 S-335 ōō様 -21203637,54+21203637,54
00014d 0100 S-345 ō様ō -21267479,54+21267479,54
00014d 0100 S-405 ōō様様 -21203717,54+21203717,54
00014d 0100 S-415 様ōō様 -23159750,54+23159750,54
000180 0180 S-205 ƀ様 -21863564,258201+21863564,38935:-22638066,939+22638999,6
000180 0180 S-305 ƀ様様 -23195960,258033+23195960,38768:-23675118,38429+23455853,257694
000180 0180 S-315 様ƀ様 -23713557,258028+23713557,38764:-24192710,38428+23973446,257692
0001a0 0180 S-205 Ơ様 -21267455,18+21267455,18
0001a0 0180 S-305 Ơ様様 -21267615,18+21267615,18
0001a0 0180 S-315 様Ơ様 -23159886,18+23159886,18
0001a0 0180 S-335 ƠƠ様 -21203693,18+21203693,18
0001a0 0180 S-345 Ơ様Ơ -21267535,18+21267535,18
0001a0 0180 S-405 ƠƠ様様 -21203773,18+21203773,18
0001a0 0180 S-415 様ƠƠ様 -23159806,18+23159806,18
0001a1 0180 S-205 ơ様 -21267455,18+21267455,18
0001a1 0180 S-305 ơ様様 -21267615,18+21267615,18
0001a1 0180 S-315 様ơ様 -23159886,18+23159886,18
0001a1 0180 S-335 ơơ様 -21203693,18+21203693,18
0001a1 0180 S-345 ơ様ơ -21267535,18+21267535,18
0001a1 0180 S-405 ơơ様様 -21203773,18+21203773,18
0001a1 0180 S-415 様ơơ様 -23159806,18+23159806,18
0001af 0180 S-205 Ư様 -21330571,18+21330571,18
0001af 0180 S-305 Ư様様 -21330691,18+21330691,18
0001af 0180 S-315 様Ư様 -23160421,18+23160421,18
0001af 0180 S-335 ƯƯ様 -21330451,18+21330451,18
0001af 0180 S-345 Ư様Ư -21330631,18+21330631,18
0001af 0180 S-405 ƯƯ様様 -21330511,18+21330511,18
0001af 0180 S-415 様ƯƯ様 -23160361,18+23160361,18
0001b0 0180 S-205 ư様 -21330571,18+21330571,18
0001b0 0180 S-305 ư様様 -21330691,18+21330691,18
0001b0 0180 S-315 様ư様 -23160421,18+23160421,18
0001b0 0180 S-335 ưư様 -21330451,18+21330451,18
0001b0 0180 S-345 ư様ư -21330631,18+21330631,18
0001b0 0180 S-405 ưư様様 -21330511,18+21330511,18
0001b0 0180 S-415 様ưư様 -23160361,18+23160361,18
0001de 0180 S-205 Ǟ様 -14480968,46+14480968,46
0001de 0180 S-305 Ǟ様様 -14481092,46+14481092,46
0001de 0180 S-315 様Ǟ様 -23158417,64+23158417,64
0001de 0180 S-335 ǞǞ様 -14480112,46+14480112,46
0001de 0180 S-345 Ǟ様Ǟ -14481030,46+14481030,46
0001de 0180 S-405 ǞǞ様様 -14480174,46+14480174,46
0001de 0180 S-415 様ǞǞ様 -23158349,46+23158349,46
0001df 0180 S-205 ǟ様 -14480968,46+14480968,46
0001df 0180 S-305 ǟ様様 -14481092,46+14481092,46
0001df 0180 S-315 様ǟ様 -23158417,64+23158417,64
0001df 0180 S-335 ǟǟ様 -14480112,46+14480112,46
0001df 0180 S-345 ǟ様ǟ -14481030,46+14481030,46
0001df 0180 S-405 ǟǟ様様 -14480174,46+14480174,46
0001df 0180 S-415 様ǟǟ様 -23158349,46+23158349,46
0001e0 0180 S-205 Ǡ様 -14480968,46+14480968,46
0001e0 0180 S-305 Ǡ様様 -14481092,46+14481092,46
0001e0 0180 S-315 様Ǡ様 -23158417,64+23158417,64
0001e0 0180 S-335 ǠǠ様 -14480112,46+14480112,46
0001e0 0180 S-345 Ǡ様Ǡ -14481030,46+14481030,46
0001e0 0180 S-405 ǠǠ様様 -14480174,46+14480174,46
0001e0 0180 S-415 様ǠǠ様 -23158349,46+23158349,46
0001e1 0180 S-205 ǡ様 -14480968,46+14480968,46
0001e1 0180 S-305 ǡ様様 -14481092,46+14481092,46
0001e1 0180 S-315 様ǡ様 -23158417,64+23158417,64
0001e1 0180 S-335 ǡǡ様 -14480112,46+14480112,46
0001e1 0180 S-345 ǡ様ǡ -14481030,46+14481030,46
0001e1 0180 S-405 ǡǡ様様 -14480174,46+14480174,46
0001e1 0180 S-415 様ǡǡ様 -23158349,46+23158349,46
0001ec 0180 S-205 Ǭ様 -21267399,54+21267399,54
0001ec 0180 S-305 Ǭ様様 -21267559,54+21267559,54
0001ec 0180 S-315 様Ǭ様 -23159830,54+23159830,54
0001ec 0180 S-335 ǬǬ様 -21203637,54+21203637,54
0001ec 0180 S-345 Ǭ様Ǭ -21267479,54+21267479,54
0001ec 0180 S-405 ǬǬ様様 -21203717,54+21203717,54
0001ec 0180 S-415 様ǬǬ様 -23159750,54+23159750,54
0001ed 0180 S-205 ǭ様 -21267399,54+21267399,54
0001ed 0180 S-305 ǭ様様 -21267559,54+21267559,54
0001ed 0180 S-315 様ǭ様 -23159830,54+23159830,54
0001ed 0180 S-335 ǭǭ様 -21203637,54+21203637,54
0001ed 0180 S-345 ǭ様ǭ -21267479,54+21267479,54
